gene	gene_pval_positive	ngrna_lfc_positive	gene_lfc_positive	fdr_gene_positive_rra	mean_log2FC_positive	SEM_positive	z_positive	pval_gene_positive	ngrna_tested_positive	fdr_gene_positive_wald	gene_pval_negative	ngrna_lfc_negative	gene_lfc_negative	fdr_gene_negative_rra	mean_log2FC_negative	SEM_negative	z_negative	pval_gene_negative	ngrna_tested_negative	fdr_gene_negative_wald
yegQ											6.425308051521589e-07	5.0	-1.7597270506691491	8.678275359278595e-07	-1.7597270506691491	0.3245877335919276	-5.421421910174467	5.91268251352905e-08	5.0	1.7600771329659445e-07
yehI	0.019496730407796814	2.0	0.3781043915149485	0.022945713418532798	0.3781043915149485	0.10331779730727098	3.6596249762318487	0.00025258463335824945	2.0	0.0002744003101935099	4.36953950295973e-15	2.0	-1.784242417654808	8.525351530231212e-15	-1.784242417654808	0.45491330817385084	-3.922159201754848	8.775897255081974e-05	2.0	0.00018232332838972388
yehM	0.005709351350861002	2.0	0.3866120434389563	0.00863915007038178	0.3866120434389563	0.0672761004861608	5.746647630364445	9.103015455898494e-09	2.0	1.2569343811317818e-08	3.665041990598968e-64	6.0	-2.391122934522869	3.575407811481059e-63	-2.391122934522869	0.8504997879566366	-2.8114327227143088	0.004932140415340712	6.0	0.007579787710219673
yehP											6.951290265039828e-08	4.0	-1.0574642759162363	9.926464618732292e-08	-1.0574642759162363	0.20309761452479733	-5.206679942501858	1.9224926222351626e-07	4.0	5.45161809938723e-07
yeiB	0.022862522624059356	3.0	0.44861403521451315	0.02621699531676322	0.44861403521451315	0.04427754498898112	10.131863348027876	3.989729162410421e-24	3.0	9.098390866120081e-24	1.399875580956859e-05	3.0	-1.279834069965316	1.767072199590409e-05	-1.279834069965316	0.3995854257286397	-3.202904779701493	0.0013604895664068998	3.0	0.0023235763764989396
yeiI											7.655183615403766e-08	2.0	-1.277743640646808	1.0905598880674413e-07	-1.277743640646808	0.008186024979518258	-156.08841212233904	0.0	2.0	0.0
yeiQ											1.7091861879666187e-15	2.0	-2.8676331191304234	3.3825680346197142e-15	-2.8676331191304234	1.1752376040144277	-2.4400454081243126	0.01468541586795726	2.0	0.020292780202450563
yejB											1.3790681835608294e-26	4.0	-1.1552221854399314	4.160382167212923e-26	-1.1552221854399314	0.3021013844700279	-3.823955283973693	0.00013132774299304373	4.0	0.00026727131368765704
yejL											5.624267810669041e-20	7.0	-6.695487602128006	1.3624238488732696e-19	-6.695487602128006	0.6170511105051228	-10.850782841387366	1.9772454282475238e-27	7.0	1.8200797660022077e-26
yejM											1.0598340291756509e-47	24.0	-5.58457509089101	6.405394216734995e-47	-5.58457509089101	0.5346543676857838	-10.445206152646756	1.5412017224457393e-25	24.0	1.3121291060911423e-24
yejO											7.629087948015762e-20	3.0	-3.7044379776671934	1.8406200089634803e-19	-3.7044379776671934	1.1461860127215433	-3.2319692759740186	0.0012294027385937945	3.0	0.002121901842092174
yfaE											4.3593106205668606e-21	2.0	-2.4215715007235588	1.1036618566879428e-20	-2.4215715007235588	0.6859131402644575	-3.530434625862261	0.00041487752864123264	2.0	0.0007765434451626825
