gene	gene_pval_positive	ngrna_lfc_positive	fdr_gene_positive	gene_lfc_positive	gene_pval_negative	ngrna_lfc_negative	fdr_gene_negative	gene_lfc_negative
garP	0.06089132960609085	12.0	0.21203502906672103	0.323437395142767	0.007431608670513562	13.0	0.013116739781408433	-0.8932190638471185
garR	0.9678546042975199	8.0	0.9994630414401307		1.8587340128067068e-06	9.0	4.414076648464463e-06	-6.279901154025313
gatA	1.302978628353093e-05	4.0	0.0003043869765182265	0.5564169229885583				
gatB	0.4112723742025264	2.0	0.7970189059148265					
gatC	2.0833920154007493e-06	24.0	7.460072510191857e-05	0.47720330630627084	7.962751396588365e-19	6.0	3.623827181975438e-18	-5.7357033271853854
gatD	0.9180213778368632	14.0	0.9994630414401307		3.603890789061519e-15	7.0	1.3741130618945695e-14	-3.1816377628321537
gatR_1	0.7570889331406258	2.0	0.9994630414401307		0.815661232163764	4.0	0.9705367102086356	
gatR_2	0.7267864903418453	7.0	0.9994630414401307		0.9122604023968922	3.0	0.9995334312006408	
gatY	0.1651345992214912	10.0	0.4269935397266777	0.5394335657544176	0.9341744827521026	2.0	0.9995334312006408	
gatZ	2.9776152509403473e-06	18.0	9.684693603683481e-05	0.5972304995125615	0.3462378453519025	7.0	0.4738556526293864	
gcd	0.0014418675170260774	25.0	0.013148618969515842	0.4538089309989852	0.005508258039376797	13.0	0.009835644579974838	-1.090647532809495
gcl	0.5284890802266541	24.0	0.9221332789872944	0.49442956835175517	1.4497314711689255e-07	9.0	3.74011891880139e-07	-1.3288729637348398
gcvA	0.9646297372848349	5.0	0.9994630414401307		0.43267562614283417	11.0	0.5760791764964746	
gcvB					0.0009691420111081807	2.0	0.0018883772487164304	-0.8350611930869966
gcvH	0.8473797097456931	2.0	0.9994630414401307					
gcvP	0.027131549455181043	32.0	0.11955394767171748	0.44505359388300625	6.702534864076564e-83	24.0	2.585356409220989e-81	-1.6814563312732407
gcvR	0.9592472710868514	2.0	0.9994630414401307		0.0006506732533997999	5.0	0.0012886963288920262	-0.671376366959609
gcvT	0.09238199301793477	16.0	0.2808153572811522	0.7596239822742662	1.2132564346097978e-30	11.0	8.51637423092708e-30	-3.1000428579897523
gdhA	0.6557607420245963	21.0	0.9994630414401307	0.5097273012394132	0.009273183466254449	15.0	0.01612357020193826	-1.0518102795537392
gfcA	0.230536303721783	2.0	0.5420380683289874		0.27989510392776695	3.0	0.3925249727868048	
gfcB	0.9578600757307504	10.0	0.9994630414401307		0.9497708144413393	7.0	0.9995334312006408	
gfcC	0.4989868867468943	9.0	0.8995592697335466		0.009291403380839265	5.0	0.01614818269119615	-0.41946201493520546
gfcD	0.05796743980111451	23.0	0.20456321658566903	0.29341870823271543	9.321198653971057e-25	18.0	5.2828990374075616e-24	-1.3398702084516498
gfcE	0.48864047548800504	8.0	0.8905022543005592		0.0024521668383178773	12.0	0.004571777967450458	-1.9495670603167043
ggt	1.8657820668758494e-06	29.0	6.80574524020228e-05	0.4868987691710977	5.481722249717881e-11	19.0	1.6994157187879652e-10	-3.441630021399085
ghoT					0.8551524041242897	2.0	0.9995334312006408	
ghrA	0.9651746072240437	15.0	0.9994630414401307		2.605721905117328e-18	8.0	1.1580014685717162e-17	-5.016156839065713
ghrB	0.5391658966388567	6.0	0.9339664532147479		1.1293199083235477e-06	9.0	2.7242185766663356e-06	-3.9040119499104007
ghxP	0.018058832477237597	20.0	0.08854726527469642	0.48749185806838535	2.0270653170004247e-32	23.0	1.5224065225789577e-31	-1.9069320665499425
ghxQ	0.06891044972477756	17.0	0.2296304727364043	0.37937296913848334	4.385404433224376e-24	13.0	2.419890529611173e-23	-2.7461360326243827
glcA	0.419879073163161	22.0	0.8068872587670198	0.40906520828723075	1.5786010408939682e-05	14.0	3.5493955492199976e-05	-2.2529555886825636
glcB	0.001946809823804498	31.0	0.016411228385116536	0.46093835330510086	5.453639130879532e-16	24.0	2.173250578433739e-15	-2.7523831268007504
glcC	0.6605156846038481	5.0	0.9994630414401307		0.9807015480558245	7.0	0.9995334312006408	
glcD	0.6355594738051458	17.0	0.9994630414401307		7.73202913768013e-42	20.0	8.105369858576031e-41	-2.348855361364089
glcE	0.10247788474089058	13.0	0.3018650446367516	0.2960339950110751	1.4585929818532176e-08	8.0	4.0020648597395257e-08	-2.271059151392556
glcF	0.03564961603043351	12.0	0.14554440519537865	0.3991766525872373	0.00013772499461037657	11.0	0.0002905902302639544	-1.148460461092642
glcG	0.3639583593330217	2.0	0.7360256354801987		0.44460866313991343	7.0	0.589310803086751	
gldA	0.18298364764457087	6.0	0.45870005038478834	0.3443819368331025	9.274725709698393e-28	12.0	5.8396965522395746e-27	-2.6008103743358166
glf	0.049788393036678126	9.0	0.18349773184339446	0.5135694598265588	0.7527866811827446	7.0	0.9196777314226507	
glgA	0.16851554965342455	16.0	0.4332781227255046	0.38496992355119686	1.7931879973915145e-05	14.0	4.020505594602984e-05	-1.4565395824702771
glgB	0.9183653464403306	24.0	0.9994630414401307		6.136300977608322e-21	21.0	3.03227907761665e-20	-2.138281193204907
glgC	0.06270506278107336	19.0	0.21674103293453895	0.5012605195923677	0.31372463430849645	16.0	0.43459831663446874	-2.115352747011457
glgP	0.0007175430562386881	21.0	0.007531846211994334	0.5139536717964232	0.05143025762251255	14.0	0.0817656716823699	-0.657632935763178
glgX	0.9509971833584914	37.0	0.9994630414401307		1.4230657460034828e-07	20.0	3.673710337148692e-07	-1.0723388604340462
glk	0.9214823292268582	10.0	0.9994630414401307		0.8783255726245625	6.0	0.9995334312006408	
glmM	0.04795639589979126	8.0	0.1792852616828403	0.3563692350365404	1.0660722265172837e-70	16.0	2.8236699706354456e-69	-3.766077070805101
glmS	0.8066767941022982	15.0	0.9994630414401307		8.520929736830582e-51	18.0	1.183694190364612e-49	-2.1348247722516436
glmU	0.4806378021672796	5.0	0.8819130320123508		3.4071067033313003e-63	17.0	6.8712867676828705e-62	-5.032539610394127
glmY					0.9859666214623122	2.0	0.9995334312006408	
glmZ	0.9631545424350376	7.0	0.9994630414401307					
glnA	0.711279283286115	12.0	0.9994630414401307		1.1291014950683548e-18	28.0	5.086077369508587e-18	-1.0538745765021318
glnB	0.8948774239392077	3.0	0.9994630414401307		3.178255557176578e-32	4.0	2.3646459416971055e-31	-5.090041695904694
glnD	0.26832788007523345	16.0	0.6022333041596527	0.3934442653688554	1.3308807464354708e-51	37.0	1.9227597111229548e-50	-2.3608882150590453
glnE	0.00016456504545984	24.0	0.002361387398638807	0.4681640677392565	3.2531390454352865e-18	21.0	1.4376775781439814e-17	-1.5522832052951268
glnG	0.009736372505856957	11.0	0.05646517368552705	0.45172240918715206	0.00015982962663067867	16.0	0.00033333496409642326	-0.9527799538695845
glnH	0.5061754566959887	5.0	0.9057319593474067		0.7737951236288775	6.0	0.9369972649123836	
glnK	0.2977164778578385	4.0	0.647614510372964		0.9565888229461513	2.0	0.9995334312006408	
glnL	0.21811318358674928	16.0	0.5219329431257468	0.7489165356224512	0.016226482064997615	13.0	0.02739813567540821	-0.5377116769672748
glnP	0.0063656124336099115	8.0	0.04079636342919455	0.29715513599666865	0.02700922975295954	7.0	0.04450753621257082	-1.9573218489647803
glnQ	0.05402607502419865	9.0	0.19560646643733517	0.4858982531554271	0.3349555132470337	3.0	0.45999939651934496	
glnS	0.17385250030384747	2.0	0.4435927449195515		8.266539183403966e-110	35.0	7.464309130832717e-108	-6.219003980147024
glnU	0.9911070215780016	2.0	0.9994630414401307		7.311522615878043e-11	4.0	2.2500913518887271e-10	-6.203501922353428
glnV								-6.832202846761003
