gene	gene_pval_positive	ngrna_lfc_positive	gene_lfc_positive	fdr_gene_positive_rra	mean_log2FC_positive	SEM_positive	z_positive	pval_gene_positive	ngrna_tested_positive	fdr_gene_positive_wald	gene_pval_negative	ngrna_lfc_negative	gene_lfc_negative	fdr_gene_negative_rra	mean_log2FC_negative	SEM_negative	z_negative	pval_gene_negative	ngrna_tested_negative	fdr_gene_negative_wald
insAB-4	3.918330410294142e-06	3.0	0.3634696894661213	2.1604493015662903e-05	0.3634696894661213	0.06965140684096183	5.21841131358693	1.8046435277526255e-07	3.0	2.2950048022762457e-07										
insAB-5	3.918330410294142e-06	3.0	0.3634696894661213	2.1604493015662903e-05	0.3634696894661213	0.06965140684096183	5.21841131358693	1.8046435277526255e-07	3.0	2.2950048022762457e-07	5.6747214052832436e-05	3.0	-1.7148427131026966	6.891830123466457e-05	-1.7148427131026966	0.8502938394790598	-2.0167648329115386	0.04372006050878945	3.0	0.053458793333295
insAB-6	3.918330410294142e-06	3.0	0.3634696894661213	2.1604493015662903e-05	0.3634696894661213	0.06965140684096183	5.21841131358693	1.8046435277526255e-07	3.0	2.2950048022762457e-07	5.6747214052832436e-05	3.0	-1.7148427131026966	6.891830123466457e-05	-1.7148427131026966	0.8502938394790598	-2.0167648329115386	0.04372006050878945	3.0	0.053458793333295
insCD-1	0.0003594930330852921	10.0	0.34713710828555105	0.0009776753095731762	0.34713710828555105	0.02995136344069666	11.590026910557121	4.629870727887937e-31	10.0	1.2896352719549444e-30	2.8159772113782264e-16	9.0	-1.770747602967618	5.770181614639175e-16	-1.770747602967618	0.5064239525704507	-3.4965715858814597	0.00047127802698356116	9.0	0.00086763493172871
insCD-2	0.0003594930330852921	10.0	0.34713710828555105	0.0009776753095731762	0.34713710828555105	0.02995136344069666	11.590026910557121	4.629870727887937e-31	10.0	1.2896352719549444e-30	2.8159772113782264e-16	9.0	-1.770747602967618	5.770181614639175e-16	-1.770747602967618	0.5064239525704507	-3.4965715858814597	0.00047127802698356116	9.0	0.00086763493172871
insCD-3	0.0003594930330852921	10.0	0.34713710828555105	0.0009776753095731762	0.34713710828555105	0.02995136344069666	11.590026910557121	4.629870727887937e-31	10.0	1.2896352719549444e-30	2.8159772113782264e-16	9.0	-1.770747602967618	5.770181614639175e-16	-1.770747602967618	0.5064239525704507	-3.4965715858814597	0.00047127802698356116	9.0	0.00086763493172871
insCD-4	0.0003594930330852921	10.0	0.34713710828555105	0.0009776753095731762	0.34713710828555105	0.02995136344069666	11.590026910557121	4.629870727887937e-31	10.0	1.2896352719549444e-30	2.8159772113782264e-16	9.0	-1.770747602967618	5.770181614639175e-16	-1.770747602967618	0.5064239525704507	-3.4965715858814597	0.00047127802698356116	9.0	0.00086763493172871
insCD-5	0.0003594930330852921	10.0	0.34713710828555105	0.0009776753095731762	0.34713710828555105	0.02995136344069666	11.590026910557121	4.629870727887937e-31	10.0	1.2896352719549444e-30	2.8159772113782264e-16	9.0	-1.770747602967618	5.770181614639175e-16	-1.770747602967618	0.5064239525704507	-3.4965715858814597	0.00047127802698356116	9.0	0.00086763493172871
insCD-6	0.0003594930330852921	10.0	0.34713710828555105	0.0009776753095731762	0.34713710828555105	0.02995136344069666	11.590026910557121	4.629870727887937e-31	10.0	1.2896352719549444e-30	2.8159772113782264e-16	9.0	-1.770747602967618	5.770181614639175e-16	-1.770747602967618	0.5064239525704507	-3.4965715858814597	0.00047127802698356116	9.0	0.00086763493172871
insD	0.00023167192532654336	3.0	0.3847960573860294	0.0006958802234621919	0.3847960573860294	0.09127627039207177	4.215729408455899	2.489721491171544e-05	3.0	2.8672758231660844e-05	7.845982145870205e-05	2.0	-1.157504782113646	9.420426723636801e-05	-1.157504782113646	0.44088020992441473	-2.6254405529159284	0.008653691855969717	2.0	0.0126803076583393
insEF-1	3.650603037159982e-05	10.0	0.4346199812813988	0.00015070438179045053	0.4346199812813988	0.02791380064796865	15.570075417624187	1.1627005181159266e-54	10.0	4.978584665336813e-54	3.0409127826738316e-05	6.0	-2.1280078625247003	3.754084212448094e-05	-2.1280078625247003	1.4000613412511003	-1.5199390196883118	0.1285263024856137	6.0	0.1386446592317768
insEF-2	3.650603037159982e-05	10.0	0.4346199812813988	0.00015070438179045053	0.4346199812813988	0.02791380064796865	15.570075417624187	1.1627005181159266e-54	10.0	4.978584665336813e-54	3.0409127826738316e-05	6.0	-2.1280078625247003	3.754084212448094e-05	-2.1280078625247003	1.4000613412511003	-1.5199390196883118	0.1285263024856137	6.0	0.1386446592317768
insEF-3	3.650603037159982e-05	10.0	0.4346199812813988	0.00015070438179045053	0.4346199812813988	0.02791380064796865	15.570075417624187	1.1627005181159266e-54	10.0	4.978584665336813e-54	3.0409127826738316e-05	6.0	-2.1280078625247003	3.754084212448094e-05	-2.1280078625247003	1.4000613412511003	-1.5199390196883118	0.1285263024856137	6.0	0.1386446592317768
insEF-4	3.650603037159982e-05	10.0	0.4346199812813988	0.00015070438179045053	0.4346199812813988	0.02791380064796865	15.570075417624187	1.1627005181159266e-54	10.0	4.978584665336813e-54	3.0409127826738316e-05	6.0	-2.1280078625247003	3.754084212448094e-05	-2.1280078625247003	1.4000613412511003	-1.5199390196883118	0.1285263024856137	6.0	0.1386446592317768
