gene	gene_lfc_positive	fdr_gene_positive
tdcD	0.37854216840970345	0.0404877539582092
thiF	0.3727701631139506	0.04049522514803747
macA	0.4985800283608107	0.040520743382080705
rsmC	0.3963787282295704	0.04057083621481552
glnP	0.29715513599666865	0.04079636342919455
sspB	0.47831707255183586	0.04112658290245316
yceB	0.569629629587895	0.041726717008031655
uup	0.4828331784231947	0.041726717008031655
erpA	0.4792124358015865	0.04194874825594865
qor	0.5402022513272569	0.04235866679679025
pck	0.4253777727913122	0.042526505926662614
intR	0.6101078427545626	0.04260727539188139
lplT	0.45773517559168303	0.0427269020723038
yggS	0.41018565538100027	0.042961106951768864
ydfU	0.6384773989924529	0.04339433988031706
fliD	0.4460338745690956	0.04346053152913625
yffP	0.36351598700806387	0.04421434513989752
yohF	0.3352389234700022	0.04421434513989752
yjhG	0.46920593223338053	0.044556211116585705
purF	0.6815252417397785	0.044976941061109076
folD	0.39315998666828067	0.044976941061109076
ygaM	0.36217494189448207	0.0451127906722438
trmD	0.5960407702293856	0.045241239765678766
tfaX	0.35169503821952874	0.04563975653561927
yfcH	0.33737108309375036	0.045914919768457976
cyoB	0.46685407284650277	0.04591826386512161
rplV	0.5265186825904128	0.04619760279828688
yajO	0.5516475314086509	0.046330059166607165
nepI	0.6800110199083353	0.046330059166607165
ykfA	0.39832639567983175	0.046330059166607165
yhdP	0.47554457827773994	0.04750934576789256
moaC	0.4750085459487464	0.047521610660262156
ykgJ	0.4440506213501898	0.04761483080416433
surA	0.45147316060833287	0.04767807368305543
menB	0.3648904443464143	0.04767807368305543
prpD	0.42429434074049044	0.04792673954523244
fepD	0.45914422868818294	0.04815179443059619
hyaB	0.4284612700912462	0.04834014984802611
ydaS	0.48316612068049003	0.048654746277409316
yghQ	0.5115273623475859	0.048654746277409316
napG	0.45361898674956125	0.04990634196741359
fabB	0.40196731850840184	0.04991856460308136
clsB	0.4391259745375502	0.04991856460308136
cstA	0.5007201008389232	0.04991856460308136
