gene	gene_lfc_positive	fdr_gene_positive
insH-10	0.38303456182625617	0.00012147445444681919
insH-1	0.38303456182625617	0.00012147445444681919
insH-2	0.38303456182625617	0.00012147445444681919
insH-7	0.38303456182625617	0.00012147445444681919
insH-3	0.38303456182625617	0.00012147445444681919
insH-4	0.38303456182625617	0.00012147445444681919
insH-9	0.38303456182625617	0.00012147445444681919
insH-8	0.38303456182625617	0.00012147445444681919
ydhT	0.48115514986815494	0.00012147445444681919
insH-6	0.38303456182625617	0.00012236094315870276
proP	0.7056315668342031	0.00012490754941636462
stfR	0.7769054744473037	0.00014291296292429648
nrdF	0.43598450569967256	0.00014392631180065095
yagF	0.4451588738617227	0.00014392631180065095
cysJ	0.5252327987218919	0.0001700440848021204
yjcC	0.45933513027774325	0.0001700440848021204
cynS	0.4520641231911839	0.00017292750634433155
prpE	0.4221361844672818	0.00017727577363160999
miaB	0.4950066151331209	0.00017782489022396628
yccS	0.5240947614645249	0.00018253686638177634
wrbA	0.5386315251524035	0.00018520852978509925
murE	0.6716465272254362	0.00018546812090420054
narL	0.5586670549961212	0.00018739677840189824
emrA	0.6406404868139176	0.00019693218611431637
ycgM	0.4398293196960245	0.00020521507779602986
rsmH	0.4386865457958017	0.0002064194781274155
uxuB	0.47452529314023584	0.00020778612717055198
ygeR	0.33315533844691997	0.00021030124218104288
puuE	0.5530715064943265	0.0002556755859166429
ispG	0.48692414715444676	0.0002565313864938852
fepA	0.4765672961020807	0.0002565313864938852
hflK	0.46895452423588835	0.0002713493370868986
ibpB	0.43862606214265126	0.00027142176733820105
plsB	0.5372900461623327	0.0002909561863460991
elfD	0.4646630291575784	0.00030002396942220273
hyfB	0.4388784792680771	0.0003043869765182265
gatA	0.5564169229885583	0.0003043869765182265
malZ	0.478593891981972	0.00033712317432226094
gltI	0.42621725255942405	0.00033712317432226094
ytjC	0.39464954793856727	0.00034254735480082735
frvB	0.4480114094812222	0.00034410886286984885
flhB	0.44304309418896654	0.00035374816755998463
malK	0.43166407598553563	0.000362068208187727
sxy	0.6236142949054646	0.0003695747884070667
proQ	0.631803355366271	0.00038545741110238897
dinB	0.5341685870165775	0.00038545741110238897
nagB	0.3644717313196942	0.00039009798826166993
lacI	0.697841228829599	0.00039990695632443414
fliJ	0.36473626753999033	0.00039992876151962185
yigM	0.4181472882845738	0.0004030663786390808
fecR	0.40014932695260347	0.00040621008081685457
ushA	0.5154581229701239	0.00040621008081685457
yffL	0.47772677865713603	0.00041738318636888393
yciC	0.4459944485717406	0.0004514870726914921
ydiK	0.4168892668865649	0.0004514870726914921
yojI	0.5053646179398502	0.0004579747289307205
rrsH	0.4707883552934152	0.00047834261210650994
rrsG	0.4707883552934152	0.0004974392428176741
rrsD	0.4707883552934152	0.0005029309853162706
rrsC	0.4707883552934152	0.0005029309853162706
rrsE	0.4707883552934152	0.0005056887547835829
rrsA	0.4707883552934152	0.0005056887547835829
rrsB	0.4707883552934152	0.0005056887547835829
lsrD	0.4951736504067321	0.0005105892211316912
truB	0.473644795478768	0.0005170063942557928
insAB-4	0.3634696894661213	0.0005951607588219752
cheA	0.4034290072595842	0.0006131516954339611
tilS	0.3284171500775819	0.0006131516954339611
aroG	0.4650363422453873	0.0006131516954339611
yjgN	0.40092886060908234	0.0006164224451197643
ybdK	0.5753242187398849	0.0006239833824262856
bglH	0.5757732516751111	0.0006239833824262856
murR	0.46047321851320616	0.0006268620690223785
hyfC	0.47225942955891825	0.0006695998801512008
nhoA	0.44281337207822624	0.0007079978763192794
gltB	0.47807876616780914	0.000727225085304008
mrr	0.49099796724916717	0.0007449956696037137
fcl	0.384581779774549	0.0007505686659838432
eptC	0.5222876878216034	0.000779332214263416
oxyR	0.4545595576612078	0.0007993588897239356
insAB-5	0.3634696894661213	0.0008099061613537438
insAB-6	0.3634696894661213	0.0008099061613537438
insAB-1	0.3634696894661213	0.0008099061613537438
ygfT	0.5866043416890471	0.0008370215214224053
btuF	0.516907452460693	0.0008506516256657537
fimF	0.5631778286722701	0.0008520760945281299
gsiB	0.4712835607427234	0.000866096839460428
nrdA	0.4184333399957494	0.0008725675277900961
xapA	0.6450972692522354	0.0008725675277900961
insAB-2	0.3634696894661213	0.0008725675277900961
insAB-3	0.3634696894661213	0.0008725675277900961
asnA	0.474087620623863	0.0008846900129166604
wzxE	0.5632094931964011	0.0009011234950135032
