gene	gene_lfc_negative	fdr_gene_negative
ycbK	-4.336498127084775	1.9855662123177327e-30
ackA	-2.630156463074732	3.403343001169453e-30
envC	-1.4542936871805257	3.6744795575625656e-30
rho	-1.6263727707289786	4.0140268968558536e-30
ugpE	-1.6107438142584933	4.108025257757819e-30
gntR	-2.2828275187726743	4.177889568196175e-30
gltX	-6.570386428680592	4.519878064529449e-30
rhsA	-1.899050047994382	5.387044040313624e-30
rhsB	-1.782453199884335	5.6031216015695704e-30
astD	-3.4221675892557366	5.845019588106977e-30
gcvT	-3.1000428579897523	8.51637423092708e-30
bepA	-1.9559762436729868	1.0851736024638638e-29
rhsD	-2.431053114448596	1.6508085295662467e-29
spoT	-3.2468330815909767	1.7649325859387213e-29
ruvA	-2.157117912261734	1.8450556151640064e-29
puuP	-2.973423183714879	1.8999664712452845e-29
yhdP	-2.5081477612015193	2.308691193529908e-29
atpB	-1.8042466236819807	2.4043415848006375e-29
yqgF	-2.387245172190514	2.4263841079412e-29
pstA	-2.10560611796655	2.5958824680737565e-29
yeeR	-4.81037074620331	2.837817352096557e-29
thiF	-3.1392585268779785	2.839118694086721e-29
paaE	-1.8827403631125705	3.976750737941307e-29
caiE	-2.5142929420754707	4.6311395639202486e-29
fusA	-4.901174055266512	5.597589572993332e-29
gntU	-1.4399885775202246	8.371709935421545e-29
ydeU	-1.0725195708434008	8.515904477074887e-29
yicC	-1.8842420661525952	9.397530608989326e-29
yibF	-1.6669440486911933	1.015285019387205e-28
uvrD	-2.999613728238346	1.0977086765675388e-28
ypjD	-2.3538364365047224	1.3337294958586024e-28
insH-6	-1.1462531388848622	1.3555964767528545e-28
uxaB	-1.9060116788929158	1.3686397159837007e-28
insH-9	-1.2464261053634849	1.589404038457856e-28
insH-7	-1.7709998968214447	1.5942405834101705e-28
insH-10	-1.7709998968214447	1.5942405834101705e-28
insH-2	-1.7709998968214447	1.5942405834101705e-28
insH-11	-1.7709998968214447	1.5942405834101705e-28
insH-1	-1.7709998968214447	1.5942405834101705e-28
insH-3	-1.7709998968214447	1.5942405834101705e-28
insH-4	-1.7709998968214447	1.5942405834101705e-28
insH-8	-1.7709998968214447	1.5942405834101705e-28
pdxA	-5.547964879008184	2.028518407166801e-28
ydfV	-2.9623966031227775	2.100094090426325e-28
ibaG	-6.5685039053563585	2.1426020229508384e-28
eutA	-2.035133452244791	2.2918425066738537e-28
ccmE	-1.949539626581182	2.419985427796528e-28
wcaL	-1.4883740244911534	2.504690656472443e-28
ftsW	-4.084141999656224	3.120186976028706e-28
proS	-5.029496506182385	3.5918203166408313e-28
cusB	-2.627738192092905	4.668838750233723e-28
rnhA	-2.3252434221114466	5.205820715122326e-28
waaQ	-2.8167991510300854	5.509601932061826e-28
nusG	-5.370038284630616	6.755589689637372e-28
accD	-6.416677338787576	8.53309439267469e-28
ratA	-2.80742312470801	9.826162143770613e-28
tolC	-2.22229917348338	9.967365997998502e-28
ydgH	-4.1811807929043985	1.146611564926639e-27
tktB	-2.028691571535246	1.3663261120552718e-27
dadA	-3.5628886490867213	1.4524045333068998e-27
nuoM	-1.3402087010524164	1.647996997877894e-27
glpE	-4.085870011024865	1.6931825260042537e-27
helD	-2.8450420674877934	2.005101667545766e-27
prpC	-1.877643765830619	2.2385515015941525e-27
aceB	-2.4273186640901887	2.6047987338056706e-27
sroG	-3.807258352759378	2.6499033019059766e-27
ccmF	-2.9012988876576067	2.8426727258024044e-27
rsmB	-1.5754767037548423	3.439888039388007e-27
ilvA	-3.2422967694762974	3.75530710611868e-27
gspD	-3.584332902493406	4.102699930138955e-27
metJ	-1.3436780425985775	5.0410250834083696e-27
metY	-4.6067578359314165	5.4094608987667074e-27
dbpA	-1.2438885791921683	5.5798681478760235e-27
carA	-2.699826417891677	5.776051848317925e-27
gldA	-2.6008103743358166	5.8396965522395746e-27
clcB	-1.4436455682501617	5.8396965522395746e-27
lptB	-6.2141044030105475	6.164307791675516e-27
pgk	-3.6991296262539906	6.495251615836994e-27
mdtF	-2.068746874778552	6.557888208913445e-27
phnP	-2.045377264960893	7.583255973207484e-27
fbp	-2.21462015063939	1.0198833903933632e-26
metW	-4.7582013931898155	1.0649080011072921e-26
tyrU	-5.177959949620485	1.234489872255141e-26
metZ	-4.764104308409137	1.2385041150071507e-26
mmuM	-1.7337829026193845	1.2731118109035656e-26
metV	-3.8168803255451103	1.4110169458249508e-26
ppsA	-0.9280620922676803	1.4788541080940554e-26
thrC	-2.3339947468826385	1.7173214055342135e-26
ybaE	-2.0314207412133616	1.8639447472212218e-26
frsA	-1.820573991396555	2.4723164715187077e-26
ispG	-2.575390985635895	3.9277487206527086e-26
potC	-1.7607881845922915	4.375280986977071e-26
nrdB	-3.598792946990544	4.4482351931195747e-26
abgR	-5.684524065557898	4.819197532686994e-26
ftsL	-4.996542498346483	5.627036373890665e-26
holA	-6.213923341408771	7.072775523519645e-26
fucU	-1.6623960046312924	7.248846227470443e-26
metR	-3.7468782571283574	7.372267594474696e-26
yigM	-2.001879381915425	7.488366874544148e-26
fadJ	-1.8651118990466593	7.806388148291227e-26
ybcF	-1.6433812480242842	8.865916537492346e-26
mnmE	-1.3147367215759467	1.0322610407230672e-25
yejB	-1.1552221854399314	1.0408506636183844e-25
csrC	-2.3716398840701354	1.2221917974054997e-25
dcuS	-3.2651128787118675	1.3507867996806292e-25
rplF	-7.564271797890659	1.3975008637029887e-25
dicA	-6.393484401824832	1.5715438738527696e-25
ycjT	-2.475184019072981	1.6024673605341e-25
modC	-2.381755547799715	1.776949483644856e-25
yrdA	-6.461015672646233	1.9181076858130252e-25
acpP	-4.520648663773752	2.3557751404965834e-25
atpG	-2.1873824402712616	2.880683753253916e-25
fliO	-2.59206337665843	2.9081212130687237e-25
rseB	-1.3760259392524972	3.2968245548107625e-25
tamB	-2.790036145325589	4.71594705705488e-25
nlpI	-1.101601207972867	4.759386499169327e-25
galU	-1.9866393515603704	6.167964895495374e-25
bioB	-2.773360806433279	6.167964895495374e-25
atoB	-1.4875305780689951	6.422077428514387e-25
elyC	-2.9558978377290632	6.810441144189651e-25
obgE	-4.382973292412406	7.668244546934e-25
ubiC	-2.359195548481331	8.14603341583652e-25
ubiG	-2.7938093501611103	8.491318790151748e-25
msbA	-6.6828444125417805	8.6570669849186e-25
ycjN	-3.059753704372981	8.983167022919599e-25
yghW	-3.1409978971937367	1.0767301608182242e-24
acrA	-1.7295790624835718	1.2374540953820323e-24
creA	-3.8395684934521763	1.2957026653272709e-24
lhgO	-1.6035873503943678	1.3105780342469487e-24
yahG	-1.515414639046488	1.3344042186477407e-24
rplR	-4.3065869740657785	1.342089320191093e-24
sppA	-2.5474308080732966	1.4349858320038891e-24
acpT	-2.110439756976352	1.6013151730883915e-24
gmk	-7.907384551971739	1.6600313044887917e-24
pdxH	-2.289611653277835	1.822346108729369e-24
fabH	-3.8893097408334847	2.239743614223181e-24
apaH	-1.8766846673795858	2.61018040513767e-24
oxc	-1.6273159706454954	2.6271920663407916e-24
yjeH	-1.9642852166182003	2.7010408135971723e-24
yahF	-2.7347301582037566	2.859568228292105e-24
csrA	-4.297290659698919	3.0997964338888736e-24
tnaA	-4.44505226103249	3.291300539980143e-24
nuoB	-1.3722190243643044	3.419715445625638e-24
narG	-4.11828273397753	3.913346987481142e-24
ydhP	-1.851745087097444	4.879022356484072e-24
gfcD	-1.3398702084516498	5.2828990374075616e-24
pldA	-5.83335679139136	6.316226980483291e-24
sapA	-1.8768311617877051	6.453157598059565e-24
yjiM	-1.2717012232119655	6.845999405869951e-24
iraD	-1.527592748226202	7.650268053821077e-24
treB	-1.4758875475394935	8.936615592159016e-24
ycaI	-3.7969018682506985	9.79340425913905e-24
cpdB	-1.667406629598381	1.1036467959240104e-23
rsd	-2.073593758311429	1.150197249726573e-23
ribA	-4.178224964796559	1.4141308072580656e-23
purL	-1.891044704765346	1.4348646839436365e-23
lysZ	-4.161518793061272	1.4348646839436365e-23
fabI	-5.041351671763309	1.455511452113093e-23
dxr	-3.088158011490023	1.535473584218742e-23
wza	-3.7024310110505176	1.614451818513596e-23
ybbW	-2.421416114248365	1.6461820721760146e-23
tusD	-2.683277223420667	1.6461820721760146e-23
yieL	-5.824496996538438	1.7316149351677033e-23
ftsK	-1.7140425618048587	1.8950944832255154e-23
ghxQ	-2.7461360326243827	2.419890529611173e-23
gapA	-3.115712586821125	2.6254818312684584e-23
mtn	-3.003377896331049	2.794694012628284e-23
cusS	-3.107836979896213	3.1178804477812764e-23
prfC	-1.3686291918336388	3.122921593302285e-23
yehQ	-1.8335765955404495	3.263266870478112e-23
yphB	-3.0737207204140518	4.860383264409722e-23
rlmI	-2.8641862400714673	4.9522047865360697e-23
yffL	-1.9098619726333599	5.011201599996874e-23
uvrA	-3.0701541657180664	5.897187534254086e-23
ihfA	-1.758000834251296	6.313350961752704e-23
phoA	-3.1526559992523175	8.642131164290445e-23
rhaD	-3.048401911518394	9.216556919011353e-23
hda	-3.1433145827001927	1.004099027380897e-22
usg	-1.2743264762661455	1.0745133534628969e-22
waaA	-5.591319247360884	1.1041997244777352e-22
flgI	-3.2983888453580463	1.1665174635478389e-22
phnI	-4.181641031591512	1.1717157615020243e-22
dcd	-2.7130515284559236	1.184922739565655e-22
ftsQ	-5.485965360595117	1.184922739565655e-22
ygcU	-3.3835336930015596	1.2020275655134697e-22
maeA	-2.3640546547148618	1.2474558544541186e-22
fabR	-1.9068690326796225	1.271068342328019e-22
yagF	-2.1997850676295188	1.273705081538689e-22
appA	-3.5689168679983645	1.3163421612122152e-22
ispB	-3.377128253716684	1.3834526086478983e-22
glpT	-3.117595631096488	1.4183435180683015e-22
lsrD	-3.565224995278226	1.91479926898909e-22
murA	-6.736382514388772	2.0501506941900093e-22
yidA	-5.446060708899316	2.2851433622857184e-22
ubiI	-2.8597469398926676	2.460205136411767e-22
pdxJ	-3.9703463694289334	2.491046638531634e-22
uhpT	-1.987508924351144	2.592980490986935e-22
rsfS	-2.8214008314552235	2.757234616123797e-22
dgoR	-5.275733665608492	2.8029816199274435e-22
elbB	-2.364971226860797	3.027094502413269e-22
rplA	-6.157663069775547	3.1414780535975863e-22
pepP	-2.4405572376812574	3.2671737415769344e-22
sulA	-1.5981684519376336	3.773767729290523e-22
yjjJ	-4.063929472396455	4.784988220181938e-22
secD	-1.8559135564201812	4.855259422071235e-22
ahpF	-6.567132994116822	4.930960855073027e-22
gltB	-1.6697327413742133	5.54667809433533e-22
yfgM	-2.2160495659480355	5.612451416650363e-22
fldA	-2.6409639703805925	5.846153455610684e-22
ydhK	-2.100593351695989	7.658974191878495e-22
exuT	-4.807270617087633	8.143074847562903e-22
uhpC	-3.6634243483054716	8.98452572917245e-22
yfbV	-2.134007710801869	9.031729450144552e-22
ilvB	-1.5151889441576267	9.405072020461303e-22
acrD	-1.6784590465473077	1.0136695800735288e-21
secE	-4.723315897885191	1.1245174894808357e-21
sapD	-1.4778134565083243	1.2278379391228303e-21
mutL	-1.641232094365597	1.2609731715612228e-21
aceA	-1.7061268345728262	1.2952273876011e-21
ybhI	-3.3678877299363594	1.5321422032970499e-21
norW	-2.8678431622745104	1.5999949836750132e-21
proW	-2.184087962156298	1.817561997975527e-21
cycA	-2.6739385099474666	2.0240785196473255e-21
nuoN	-1.4966189680084225	3.0343143973691436e-21
dnaT	-6.103966595061175	3.404173019228854e-21
ubiH	-2.1703225431943336	3.486158412297901e-21
ppdA	-6.752389400195597	4.098142942331815e-21
hisB	-5.297271574039174	4.475410185434827e-21
gmhB	-2.39601369457616	4.5476433581490815e-21
lpxD	-4.939167033466588	6.280879435742138e-21
rpoN	-1.3413739850369013	6.43010716038773e-21
ftsB	-5.992473991165385	7.348071503734e-21
pntB	-2.4856158361675904	8.67846761826526e-21
yaiP	-1.142916075304022	9.540233933869926e-21
fhuA	-3.8463623552106787	9.83561629901293e-21
nanT	-1.5886460447089878	1.2172937073611278e-20
ynjD	-2.072432220610993	1.241664766509275e-20
yebQ	-2.5749207439803956	1.5056637865287312e-20
ycjX	-1.3553603931780744	1.52648593208614e-20
iaaA	-0.9243809774005949	1.6245008348387194e-20
gspF	-5.082393307105709	2.1032778491568597e-20
ptsI	-1.9034815353815664	2.2259897401248584e-20
mraZ	-7.311231509426152	2.572820565237912e-20
panF	-0.9213141002033938	2.914513762437483e-20
bamD	-3.2050486330283756	2.9674379384796274e-20
ribE	-4.3691592958358845	2.9867592182118046e-20
hupB	-1.1218143518600285	3.01180253055569e-20
ybhS	-2.285926453519452	3.016622806915761e-20
glgB	-2.138281193204907	3.03227907761665e-20
yfaE	-2.4215715007235588	3.227243682393566e-20
ycbX	-6.341105479967597	3.4283828338316885e-20
ybdR	-2.8448566771265145	3.457725096435103e-20
psrO	-5.607267746112506	3.597282771900606e-20
yeeY	-2.6499963503688546	3.781966414316581e-20
lipB	-1.970133472087837	4.503368697300132e-20
rlmH	-3.7261823231122633	7.855083421273614e-20
asnA	-2.225073684673109	8.827308670264293e-20
pssA	-3.4393701005186776	9.10212835424981e-20
rplO	-4.756387887329855	1.0771385990351757e-19
rtcR	-1.9270216867420182	1.1596683580614705e-19
pflB	-2.7604361790028515	1.2983677433691619e-19
recO	-4.008369406331566	1.3539750811479037e-19
ubiD	-2.8171696593255673	1.8243873090187746e-19
pheV	-3.9051775700050286	1.8548973959486394e-19
pheU	-3.9051775700050286	1.8548973959486394e-19
yhbE	-2.3916085856859506	2.0768242717855154e-19
qseC	-1.6102568635550218	2.4038574668189264e-19
eutB	-1.5596741620517784	2.521381047325973e-19
wecH	-3.2280368328695856	2.619434661152422e-19
argE	-3.4978098063645566	2.6226129426307484e-19
yejL	-6.695487602128007	2.7052319626862106e-19
ppc	-2.3361663367488648	2.7932869442278213e-19
yhfX	-4.408615703415115	2.909092670037718e-19
argD	-1.5115615859964464	2.9131254133556013e-19
holD	-3.192649710612309	3.015567762816e-19
waaP	-2.6052640783323127	3.7305733671520864e-19
ydjN	-4.645170165106432	4.131307971512267e-19
rsxD	-1.5992978854275963	4.1970432480394354e-19
agaA	-1.6819500846093136	4.511454675107408e-19
hyaF	-3.3909104741743694	4.650609442949528e-19
lolB	-5.765920852537296	4.763557726314893e-19
ybhC	-1.1743510166146334	5.213780349103236e-19
mdtP	-2.746643663940382	5.414669697499386e-19
crp	-2.9664008285502765	6.001570334150079e-19
uspE	-5.830590176731886	6.014187254918809e-19
dgoK	-2.1418558328250343	6.014187254918809e-19
sapC	-2.276383948532815	6.059869002654868e-19
serA	-1.9585857954852393	6.335524831231051e-19
yhbS	-3.1106536254310044	6.568594270262063e-19
yjhP	-1.7146610868271537	7.053607331515946e-19
zapD	-3.6723410700550945	8.20114923855831e-19
ftsZ	-5.806587583756647	8.517147286733264e-19
fixA	-1.9648534283936798	9.591098734341234e-19
higA	-3.998815718239819	1.0035390219279008e-18
lpcA	-3.979597443752264	1.007705051769978e-18
araH	-3.6160749654824054	1.0665588931099035e-18
kdsC	-7.646682308665873	1.0858935505917532e-18
nlpA	-2.0314792447442285	1.1026768933446975e-18
wcaK	-2.956910591566046	1.1213892235093813e-18
dusC	-4.504284273993445	1.130418981263296e-18
leuQ	-5.7251997703089605	1.1682368571672954e-18
dapE	-1.3890815316942122	1.3359390446917043e-18
lysT	-6.909631906387762	1.4164714193052303e-18
glpB	-3.843372925750829	1.431502252035091e-18
etp	-2.5445277983871466	1.4432487931884198e-18
argG	-1.4933017236020336	1.519892257440559e-18
mfd	-3.443901419561986	1.5415628274398965e-18
pdxB	-4.062347038611823	1.5588929269381029e-18
leuV	-3.4043224706938235	1.736129773845842e-18
acrE	-2.003229608428442	1.9561058000373885e-18
dcuA	-1.5024002587188898	2.0960534911834443e-18
ybgJ	-2.870098284613597	2.0960534911834443e-18
leuT	-5.7251997703089605	2.3041722344129144e-18
sbcC	-2.394644607038511	2.4753019560698542e-18
yqgE	-2.219510428495319	2.5750144764648133e-18
yejO	-3.7044379776671925	2.8999585167878512e-18
mscM	-1.996814065587292	3.0388021475805505e-18
gatC	-5.7357033271853854	3.623827181975438e-18
lnt	-4.90087335629534	3.824962468185353e-18
yhjJ	-2.1592025591222455	3.925081589130537e-18
gspK	-3.1129291200745683	3.925081589130537e-18
dmsB	-2.6307108006309643	4.1351590671599576e-18
yifL	-0.854716772083471	4.3008757437905406e-18
acpS	-5.39679393472931	4.524804885348573e-18
phnD	-3.2135333592365765	4.777653769575811e-18
btuC	-1.7116155778588455	5.075035835358324e-18
glnA	-1.0538745765021318	5.086077369508587e-18
yejA	-6.519564277808279	5.468453550260998e-18
nudC	-2.4805255328447315	5.956664030275215e-18
galM	-3.0964139387386895	6.6218716432659036e-18
yhcC	-5.551002415372259	6.705044866157046e-18
yfeR	-1.86280665798418	7.154199492837301e-18
fryA	-1.785503016677735	8.076809806408784e-18
mglC	-3.838104711525535	8.204228719495552e-18
hepA	-3.0000317970677646	8.930902733668843e-18
cyoE	-2.323461088612674	9.257131180477154e-18
cynX	-1.7384796562091758	9.60319624844938e-18
ydeP	-4.36284958085542	1.0076597179848143e-17
ghrA	-5.016156839065713	1.1580014685717162e-17
osmF	-2.3064077557748113	1.1903679210739084e-17
slyB	-1.5488898296897238	1.1988891482691866e-17
alsB	-4.112514006586636	1.2265106334645897e-17
ygeR	-2.6554192620135386	1.4013456156406293e-17
glnE	-1.5522832052951268	1.4376775781439814e-17
nudJ	-7.901032768645248	1.5113239733366046e-17
etk	-2.1416068405345463	1.5658533140992004e-17
ybhF	-2.6464361700261505	1.6123764604800014e-17
aslB	-1.8010264328885786	1.792078339087e-17
nuoF	-1.242461763480012	1.953163176629434e-17
fadD	-2.5973568043093387	2.010090931167988e-17
rstA	-1.2765540321031184	2.093372090595333e-17
mscK	-1.2721917408466212	2.1503633889983282e-17
yidZ	-0.9750782900277253	2.3755325454261984e-17
hycG	-1.6583437841817523	2.375532827200802e-17
wecB	-1.9063598204634147	2.4586257633663108e-17
yfiP	-1.2994712110115207	2.6723467232121225e-17
ybjL	-3.3345135136048234	3.039051635009842e-17
nuoI	-2.2884255513059517	3.373953686226937e-17
yjiX	-2.7532329413698458	3.7925920763059393e-17
gadC	-1.3670331358042003	3.9767954422628194e-17
hisJ	-3.1306372975997863	4.100979408798873e-17
ppiA	-2.899434215177237	4.541420622645167e-17
yhhS	-3.326605228161204	4.563104647992234e-17
yceJ	-4.77538667748716	5.1033856829551877e-17
ykfG	-1.8796010592198455	5.1367848716378695e-17
fliY	-4.601818964716241	5.199717993617789e-17
clpB	-7.044161477344886	5.334995373772383e-17
potD	-1.2981885301773337	5.809830298880243e-17
insH-5	-1.0667119722107392	5.908964889244669e-17
ruvB	-2.1328025887532953	6.371846029712491e-17
ttdA	-3.3860733256239293	6.470381701134841e-17
folC	-2.4349184464865474	6.663368620281549e-17
rffC	-2.067944711267803	7.133269890141921e-17
ygfK	-1.385083771195648	7.151893099768118e-17
yjcS	-3.2633064655728643	8.894024712018401e-17
fdhF	-2.5778165600922667	1.1355351618346173e-16
atpH	-2.1145353104618616	1.1721211982408508e-16
yfiF	-2.907929800529899	1.212767837091256e-16
cysZ	-2.8367171162821965	1.3624038299693578e-16
yagI	-5.864797554178365	1.950055796095132e-16
gpp	-2.0337809485491274	2.01808384770588e-16
lgoT	-2.57800931884647	2.0597675540191814e-16
cheA	-2.297188200462556	2.154755387605847e-16
ybiR	-1.2338493188753796	2.1941503145456103e-16
ygfM	-0.9245506618243002	2.494650316542217e-16
purH	-1.8762603927285704	2.571933473180024e-16
atpE	-1.7700522373058951	2.999824652142172e-16
glyX	-5.8044520602625305	3.122959337244192e-16
glyW	-7.616621570674182	3.122959337244192e-16
glyY	-7.616621570674182	3.122959337244192e-16
ddpA	-2.505762274072659	3.3521295643327826e-16
fliI	-1.4888973197074424	3.46339409417159e-16
degQ	-2.3284052894294254	3.580316374146033e-16
yadK	-2.896836653056035	4.028689318078116e-16
fhuC	-1.8623986316527965	4.1227637247735607e-16
murQ	-5.12105698128592	4.264227474637473e-16
yciQ	-2.9568262967708483	4.2803954765324627e-16
hscC	-4.248181531853	4.309129773618046e-16
gltT	-7.812362468147747	4.476896818996097e-16
gltU	-7.812362468147747	4.476896818996097e-16
gltV	-7.812362468147747	4.476896818996097e-16
gltW	-7.812362468147747	4.476896818996097e-16
leuB	-2.629754732520201	4.609404859425634e-16
glyV	-8.020015647534965	4.616053034977728e-16
araJ	-2.099302543687675	4.630209602717644e-16
fruB	-2.4739670137131924	4.630209602717644e-16
mtr	-2.625044133795538	4.70010133898459e-16
elfG	-2.429519553491873	5.026683018600971e-16
murJ	-2.165447036647226	5.356795964855051e-16
ubiF	-1.7299610604907247	5.787947882574344e-16
rppH	-1.536992671671504	5.929803291285182e-16
yhbV	-1.9356507130164964	6.132285443468688e-16
purA	-2.162947378122897	6.359038900896612e-16
yohF	-2.6488397426925525	6.594642637472908e-16
mdaB	-1.0631894558156076	6.66499675240989e-16
potB	-1.8364535807327638	7.20679387182911e-16
mocA	-1.9156720127013502	7.594727901743679e-16
lpoA	-1.8180781134606352	7.674370436440776e-16
ynfF	-1.6551603969038358	7.727382459765404e-16
dusB	-2.064867131813383	7.754101753076888e-16
aas	-2.272667071453088	8.988545475085542e-16
yffB	-3.09964795261379	9.391200801409909e-16
yhaL	-6.683962793266798	9.487407662137199e-16
ylbF	-1.3749038693582811	9.793375503042304e-16
ddpD	-1.1606664831053397	9.953873033477725e-16
ndh	-1.1350662393555753	1.080835619438634e-15
nuoC	-1.5300427586740253	1.0836751712731317e-15
tyrP	-2.8853729937489767	1.09016958300058e-15
ldtD	-1.75219447512661	1.103397684670615e-15
lptC	-5.382318552406659	1.1472330346768456e-15
ssb	-7.077320076359911	1.1583412968735243e-15
cysW	-5.218662667371273	1.1806676609172783e-15
yheS	-1.4779367055258594	1.209132063166518e-15
caiT	-2.0158061490817625	1.3936900020040966e-15
hslV	-2.853544290739624	1.460683034732251e-15
torR	-1.9362825418952738	1.6556228072013143e-15
yciW	-3.9143356235367097	1.7274984267441248e-15
hycC	-3.9067544369544738	1.8454627032520315e-15
rpsQ	-6.643024912495206	1.867205557398411e-15
epmA	-1.4181369732029674	1.918320408248552e-15
tyrS	-6.686250765556208	2.116785568989662e-15
glcB	-2.7523831268007504	2.173250578433739e-15
lpxA	-5.067335891555718	2.22928137044342e-15
eutL	-2.169354211944457	2.2876931696791633e-15
degS	-2.4279424450216953	2.3774081339197927e-15
galT	-5.167951583172287	2.4013656509691845e-15
mltG	-8.521630054592631	2.454795240684618e-15
rsmJ	-1.5470860734344372	2.6929618533804555e-15
acrF	-2.9005625459500783	2.7996094995948468e-15
uxuA	-2.4042480231591785	3.028779052479739e-15
putP	-4.44907980448914	3.189914153464953e-15
edd	-1.3579655784779614	3.2368105728871285e-15
cusA	-3.1367893015777755	3.427902914672005e-15
pncA	-3.8673232327955076	3.594356369499793e-15
yeaI	-1.177723062348775	3.666360535674388e-15
argZ	-6.897061553808067	3.806820244196192e-15
eno	-5.122151433140291	4.024726971380021e-15
ydiO	-2.853104043906073	4.6653987507926576e-15
csiR	-3.040365244747399	4.775464977662597e-15
phr	-1.8867680469448904	4.902782726159261e-15
hyaD	-1.8863810483579486	5.100788853662369e-15
rdoA	-3.2324579036184	5.100788853662369e-15
insCD-2	-1.770747602967618	5.5896857086679866e-15
insCD-3	-1.770747602967618	5.5896857086679866e-15
insCD-4	-1.770747602967618	5.5896857086679866e-15
insCD-5	-1.770747602967618	5.5896857086679866e-15
insCD-6	-1.770747602967618	5.5896857086679866e-15
insCD-1	-1.770747602967618	5.5896857086679866e-15
flgJ	-1.9876614307272558	5.639667190951091e-15
kup	-1.7834507245787783	5.678544230461067e-15
puuE	-4.363008459720607	5.777833174422686e-15
creD	-4.248203109489538	5.976086404810629e-15
mdlA	-1.866796935398372	6.5106092972338155e-15
yjcE	-1.7476962043132271	6.885839297024776e-15
rplV	-8.087717384754082	7.173779865316073e-15
eamB	-6.531959220816588	7.514376399203148e-15
paaY	-2.8626133106314238	7.943743607165618e-15
yhdY	-2.02920006403772	8.483357131662042e-15
hfq	-1.9018877174707514	9.153222865196428e-15
hflX	-2.215407332359905	9.637006201143772e-15
htpX	-2.255388537997841	9.78701180003788e-15
yjiR	-0.8579822815763689	9.836583841917742e-15
uvrB	-1.082016700323441	1.0285300354901417e-14
lysU	-2.159932254084724	1.0536274205800436e-14
puuD	-4.325857000690683	1.060707445259903e-14
rpe	-1.431170543278788	1.0737233467397317e-14
gatD	-3.1816377628321537	1.3741130618945695e-14
glyA	-3.871713048293345	1.4011020305132292e-14
btuF	-1.8633114840831206	1.4111563696315567e-14
coaE	-1.703026204049955	1.546964643639677e-14
fumB	-7.402277872007157	1.6952456208514153e-14
mrcB	-2.338562933287835	1.7869584099134745e-14
ycbL	-2.457365754682618	1.8668203205256877e-14
yraQ	-2.022951829685973	1.895095154733333e-14
lptF	-4.390467249655037	1.901464139358246e-14
gutQ	-1.3144189943511946	1.956974439311945e-14
rcsD	-1.6022253059656701	2.0014319620360645e-14
djlB	-1.794954660890999	2.026146773136545e-14
ychF	-1.198971581025973	2.029769469491098e-14
eutD	-5.608378479940617	2.113855719989324e-14
caiB	-2.5346213885325075	2.1888759984638036e-14
coaA	-4.1964736827298745	2.2301521774508346e-14
gsiA	-1.2052141731509287	2.4390114379975986e-14
citT	-1.7508723981879752	2.4520674425335143e-14
fepA	-6.713708383762199	2.882163187784867e-14
pepT	-1.7704988149784435	2.911106364804299e-14
mdtM	-2.7497958974061505	2.948401913038246e-14
hofQ	-1.3153444773596072	2.9879716817227525e-14
hemL	-1.9724684735769564	2.9879716817227525e-14
mqo	-2.393742068993076	3.1665481494243135e-14
cmoA	-2.3615529984672454	3.240407623014739e-14
allS	-2.7750734747803265	3.388947210114873e-14
artP	-1.2387815439676158	3.6443399948924936e-14
yfaV	-1.8443183621991859	3.735182301287932e-14
yeiQ	-2.8676331191304234	3.8078112475465494e-14
rpoA	-3.880780731144601	4.003030583272281e-14
phnK	-1.5357859905359528	4.27802032787073e-14
ppx	-3.628752569941011	4.364824004363486e-14
dmsC	-4.839415359214103	4.3860049967340375e-14
nhaB	-1.587375573980225	4.457855610198872e-14
ykfA	-2.36088106915548	4.5373612953130826e-14
rimI	-1.459722242289339	4.5613261642740446e-14
nuoJ	-1.7433534854851809	4.697361721855846e-14
leuZ	-3.318616811022686	4.7133361519221676e-14
asd	-2.4640082598077	5.133990265536212e-14
gltA	-1.0761468494478272	5.294060329771484e-14
nupX	-1.3180936087293862	5.4417630140763407e-14
prkB	-0.9170490691547825	6.804260419009375e-14
rnlA	-1.6334956283829911	6.937817665174432e-14
yeaX	-2.008670003156733	8.041912177512146e-14
ynfL	-4.626917978888323	8.990127319358094e-14
mdfA	-5.569925750266242	1.218123159682134e-13
thiP	-4.800384277522067	1.2342820378871387e-13
fhlA	-1.4646036194238548	1.2657059072246034e-13
nuoE	-1.1985347113260478	1.2969427312915873e-13
dcuD	-1.7627065772078527	1.4478983750846016e-13
ydiZ	-1.5426136722514414	1.4940033144502529e-13
tamA	-1.725519204491546	1.5311785210958999e-13
yaeF	-2.345956733809681	1.5790465408848707e-13
opgB	-3.6284914576666054	1.6137437952363138e-13
ybiA	-2.4501664715369054	1.80292750131213e-13
mngB	-3.080213907503346	1.9285028415420414e-13
nemA	-0.8889365969323932	1.995672502930473e-13
yghR	-1.8319655792686973	2.172592865865391e-13
nadB	-2.6475314241261976	2.2807447355965537e-13
oppF	-1.0749554204528926	2.41220893952639e-13
ligB	-2.311638195378229	2.41220893952639e-13
trmO	-2.212933844274037	2.41774198762174e-13
holB	-5.37107814056312	2.44653897757558e-13
rhtA	-1.754914671193939	2.667461436362137e-13
yehI	-1.784242417654808	2.746863994502909e-13
ynfC	-4.687479668608754	2.9147819499068636e-13
