gene	gene_lfc_negative	fdr_gene_negative
lgt	-6.781373061343107	1.7144659701790135e-43
rsgA	-2.976852326691852	1.82957775724481e-43
nrdD	-1.8934112308736757	1.842993801112851e-43
zraR	-5.0369010450521206	2.134056618344479e-43
cyaA	-1.7326444148845586	3.0222113768449304e-43
actP	-2.141717081408233	3.706238451094615e-43
rplK	-4.714618716494898	6.98111746475099e-43
lepB	-3.733863192167624	8.612074608656885e-43
dapA	-3.4861015116859586	9.202427348187982e-43
uhpB	-3.3315787760196405	1.4840249692080092e-42
eutE	-2.4450270443343074	1.672204128790696e-42
yidE	-1.2084319783372857	1.8500508667101654e-42
opgD	-1.7408003489879518	2.2230237317573212e-42
ygiC	-2.1869494372078506	2.3453726820686817e-42
yeaG	-1.6227887322169412	3.03774106355389e-42
racR	-4.379743406945051	6.551151403034098e-42
aceE	-2.3080501373827125	6.573967698257053e-42
clpP	-1.7109519093125036	7.12460339047714e-42
ydbK	-2.6785979126200994	1.022626729740137e-41
pstS	-2.47032869559317	1.038597289835971e-41
tktA	-1.8029875138289335	1.4348188356746027e-41
mnmA	-4.732150737248247	1.5748118318564604e-41
wrbA	-3.141259116843903	1.850690444897861e-41
dauA	-1.6565850915938178	2.4667807093461217e-41
dcuB	-1.7009057423532088	2.7320550351176013e-41
fumA	-2.059864923140088	2.909510097129343e-41
topB	-2.597009755010155	3.562721878356456e-41
proX	-4.670998369277417	3.684502204680073e-41
fumC	-2.5511605381183236	5.862440013241308e-41
cynR	-1.9692170127976663	6.996175296616465e-41
bglX	-2.421453656470045	7.300923040868207e-41
glcD	-2.348855361364089	8.105369858576031e-41
tufB	-4.420434214774037	8.25864761076511e-41
recA	-1.8256354970392612	8.355663865681797e-41
tufA	-4.240262603404205	9.31079643377707e-41
ybjJ	-1.207213549161073	9.726735939326838e-41
tpiA	-1.9360786010455027	1.5927367165465491e-40
glpD	-1.0306599414678081	1.7224838766841432e-40
tilS	-3.4181219807190883	1.9649233315955644e-40
ispA	-4.178963231291262	2.820575851152035e-40
ydjI	-2.2546841960488955	3.677155595430697e-40
rplB	-5.782108571285616	7.631979492886922e-40
idnT	-5.0901221323946055	1.0462822461700654e-39
fhuD	-3.0424029947365985	1.0863361883003034e-39
cdsA	-4.701915076218115	1.3187396763534188e-39
glvC	-6.239630812404213	1.3887496666411655e-39
cysS	-5.672206505527489	1.8725662335042027e-39
metB	-4.320960111144539	1.8874716211027798e-39
ydhS	-3.887959298446287	1.9960163011202054e-39
lptA	-6.847428016072278	3.227928681989722e-39
pitA	-1.5525611924714868	3.3416278445601464e-39
rnpA	-4.126344456386759	3.547716348252733e-39
dosP	-4.193073002802672	3.918194028385585e-39
nadK	-3.5600926379840607	4.855601816317339e-39
lpoB	-2.843176423246053	6.470734244119901e-39
pth	-2.214156241552763	6.528125884318872e-39
ybgO	-2.6982115480893203	7.122576251938429e-39
rseP	-5.674845412859133	7.486491590976642e-39
tsr	-3.8282795600882507	8.458930550546055e-39
abpB	-2.595758185644127	9.316093604177445e-39
secM	-4.340893694738201	9.418002390992046e-39
yigB	-2.673902293039733	9.659655284065756e-39
hyfI	-4.52771004520255	1.1382601589327594e-38
yfjU	-1.659118961833559	1.1816313429645373e-38
rrrQ	-1.6455607226192441	1.3661932544714009e-38
rhsC	-1.7294226623146896	2.110413645800682e-38
ykgE	-6.040926411653739	2.628179232810281e-38
dnaC	-5.350588699055876	3.204556802438375e-38
ydhB	-2.1664138512204785	3.272759323242748e-38
icd	-3.047569506954674	3.6445874427115915e-38
pepA	-2.509664615325475	3.6445874427115915e-38
lpd	-3.0240120866017866	6.317116489382123e-38
waaG	-3.238973150648867	6.474762465656907e-38
lpxB	-6.4944293248445515	7.50245645306432e-38
tsf	-5.667224863921636	1.0409763350141575e-37
yrbG	-3.5828591567822836	1.161849945838153e-37
nuoL	-1.0925023225878636	1.3132449768811554e-37
rplQ	-4.449743505525684	1.3267201393738206e-37
ydcO	-2.2452944394312118	1.3750912503332094e-37
cca	-2.2616110057151206	1.4175318617322586e-37
fbaA	-2.066145867925315	1.5722441337066064e-37
ddpF	-2.9103115885155564	1.7673937256901461e-37
yidC	-5.003859207886679	2.3121219246105473e-37
dgt	-1.8824985273250128	3.558973220533487e-37
pka	-1.5848353020278	3.6370556639297435e-37
pdhR	-1.889123063342508	4.081711682876387e-37
damX	-1.3914850445050386	5.495941096490333e-37
atpA	-1.7607703620818804	5.611929847854008e-37
